Year,Values
2020 DEC,72.4
2021 JAN,60.2
2021 FEB,64
2021 MAR,69.7
2021 APR,74.4
2021 MAY,78.3
2021 JUN,82.2
2021 JUL,84.9
2021 AUG,87.2
2021 SEP,89.7
2021 OCT,90.7
2021 NOV,92.5
2021 DEC,93.4
2022 JAN,97.8
2022 FEB,103.2
2022 MAR,108.7
2022 APR,111.5
2022 MAY,114.1
2022 JUN,117.5
2022 JUL,119.8
2022 AUG,120.4
2022 SEP,120
2022 OCT,120.4
2022 NOV,120.4
2022 DEC,119.3
2023 JAN,104.7
2023 FEB,105.8
2023 MAR,105.8
2023 APR,105.9
2023 MAY,105.6
2023 JUN,104.9
2023 JUL,104.7
2023 AUG,104.8
2023 SEP,105.2
2023 OCT,105.6
